,ds,y
0,2019-09-13,137.32
1,2019-09-12,137.52
2,2019-09-11,136.12
3,2019-09-10,136.08
4,2019-09-09,137.52
5,2019-09-06,139.1
6,2019-09-05,140.05
7,2019-09-04,137.63
8,2019-09-03,136.04
9,2019-08-30,137.86
10,2019-08-29,138.12
11,2019-08-28,135.56
12,2019-08-27,135.74
13,2019-08-26,135.45
14,2019-08-23,133.39
15,2019-08-22,137.78
16,2019-08-21,138.79
17,2019-08-20,137.26
18,2019-08-19,138.41
19,2019-08-16,136.13
20,2019-08-15,133.68
21,2019-08-14,133.98
22,2019-08-13,138.6
23,2019-08-12,135.79
24,2019-08-09,137.71
25,2019-08-08,138.89
26,2019-08-07,135.28
27,2019-08-06,134.69
28,2019-08-05,132.21
29,2019-08-02,136.9
30,2019-08-01,138.06
31,2019-07-31,136.27
32,2019-07-30,140.35
33,2019-07-29,141.03
34,2019-07-26,141.34
35,2019-07-25,140.19
36,2019-07-24,140.72
37,2019-07-23,139.29
38,2019-07-22,138.43
39,2019-07-19,136.62
40,2019-07-18,136.42
41,2019-07-17,136.27
42,2019-07-16,137.08
43,2019-07-15,138.9
44,2019-07-12,138.9
45,2019-07-11,138.4
46,2019-07-10,137.85
47,2019-07-09,136.46
48,2019-07-08,136.96
49,2019-07-05,137.06
50,2019-07-03,137.46
51,2019-07-02,136.58
52,2019-07-01,135.68
53,2019-06-28,133.96
54,2019-06-27,134.15
55,2019-06-26,133.93
56,2019-06-25,133.43
57,2019-06-24,137.78
58,2019-06-21,136.97
59,2019-06-20,136.95
60,2019-06-19,135.69
61,2019-06-18,135.16
62,2019-06-17,132.85
63,2019-06-14,132.45
64,2019-06-13,132.32
65,2019-06-12,131.49
66,2019-06-11,132.1
67,2019-06-10,132.6
68,2019-06-07,131.4
69,2019-06-06,127.82
70,2019-06-05,125.83
71,2019-06-04,123.16
72,2019-06-03,119.84
73,2019-05-31,123.68
74,2019-05-30,125.73
75,2019-05-29,124.94
76,2019-05-28,126.16
77,2019-05-24,126.24
78,2019-05-23,126.18
79,2019-05-22,127.67
80,2019-05-21,126.9
81,2019-05-20,126.22
82,2019-05-17,128.07
83,2019-05-16,128.93
84,2019-05-15,126.02
85,2019-05-14,124.73
86,2019-05-13,123.35
87,2019-05-10,127.13
88,2019-05-09,125.5
89,2019-05-08,125.51
90,2019-05-07,125.52
91,2019-05-06,128.15
92,2019-05-03,128.9
93,2019-05-02,126.21
94,2019-05-01,127.88
95,2019-04-30,130.6
96,2019-04-29,129.77
97,2019-04-26,129.89
98,2019-04-25,129.15
99,2019-04-24,125.01
100,2019-04-23,125.44
