ds,y
2015-01-26,23
2015-02-02,26
2015-02-09,14
2015-02-16,15
2015-02-23,19
2015-03-02,33
2015-03-09,29
2015-03-16,15
2015-03-23,45
2015-03-30,53
2015-04-06,53
2015-04-13,49
2015-04-20,35
2015-04-27,73
2015-05-04,52
2015-05-11,45
2015-05-18,50
2015-05-25,42
2015-06-01,27
2015-06-08,26
2015-06-15,23
2015-06-22,44
2015-06-29,50
2015-07-06,69
2015-07-13,42
2015-07-20,55
2015-07-27,55
2015-08-03,47
2015-08-10,37
2015-08-17,55
2015-08-24,16
2015-08-31,31
2015-09-07,13
2015-09-14,14
2015-09-21,20
2015-09-28,15
2015-10-05,21
2015-10-12,11
2015-10-19,12
2015-10-26,4
2015-11-02,3
2016-01-25,1
2016-02-01,6
2016-02-08,17
2016-02-15,30
2016-02-22,43
2016-02-29,48
2016-03-07,56
2016-03-14,91
2016-03-21,116
2016-03-28,45
2016-04-04,47
2016-04-11,42
2016-04-18,45
2016-04-25,20
2016-05-02,19
2016-05-09,36
2016-05-16,18
2016-05-23,18
2016-05-30,31
2016-06-06,50
2016-06-13,54
2016-06-20,38
2016-06-27,51
2016-07-04,22
2016-07-11,11
2016-07-18,19
2016-07-25,17
2016-08-01,8
2016-08-08,13
2016-08-15,26
2016-08-22,17
2016-08-29,12
2016-09-05,11
2016-09-12,22
2016-09-19,12
2016-09-26,7
2016-10-03,27
2016-10-10,18
2016-10-17,24
2016-10-24,34
2016-10-31,6
2016-11-07,1
2016-12-19,2
2016-12-26,3
2017-01-02,1
2017-01-16,2
2017-01-23,25
2017-01-30,30
2017-02-06,25
2017-02-13,26
2017-02-20,54
2017-02-27,71
2017-03-06,152
2017-03-13,100
2017-03-20,108
2017-03-27,97
2017-04-03,88
2017-04-10,67
2017-04-17,64
2017-04-24,68
2017-05-01,55
2017-05-08,107
2017-05-15,82
2017-05-22,77
2017-05-29,61
2017-06-05,87
2017-06-12,66
2017-06-19,98
2017-06-26,74
2017-07-03,72
2017-07-10,33
2017-07-17,50
2017-07-24,51
2017-07-31,35
2017-08-07,46
2017-08-14,31
2017-08-21,34
2017-08-28,33
2017-09-04,20
2017-09-11,33
2017-09-18,18
2017-09-25,34
2017-10-02,15
2017-10-09,14
2017-10-16,19
2017-10-23,8
2017-10-30,3
2017-11-06,2
2017-11-13,2
2017-11-27,5
2018-01-15,1
2018-01-22,3
2018-01-29,14
2018-02-05,20
2018-02-12,8
2018-02-19,20
2018-02-26,41
2018-03-05,17
2018-03-12,33
2018-03-19,33
2018-03-26,25
2018-04-02,57
2018-04-09,48
2018-04-16,36
2018-04-23,42
2018-04-30,38
2018-05-07,19
2018-05-14,40
2018-05-21,26
2018-05-28,66
2018-06-04,37
2018-06-11,54
2018-06-18,34
2018-06-25,31
