ds,y
26-01-2015,23
02-02-2015,26
09-02-2015,14
16-02-2015,15
23-02-2015,19
02-03-2015,33
09-03-2015,29
16-03-2015,15
23-03-2015,45
30-03-2015,53
06-04-2015,53
13-04-2015,49
20-04-2015,35
27-04-2015,73
04-05-2015,52
11-05-2015,45
18-05-2015,50
25-05-2015,42
01-06-2015,27
08-06-2015,26
15-06-2015,23
22-06-2015,44
29-06-2015,50
06-07-2015,69
13-07-2015,42
20-07-2015,55
27-07-2015,55
03-08-2015,47
10-08-2015,37
17-08-2015,55
24-08-2015,16
31-08-2015,31
07-09-2015,13
14-09-2015,14
21-09-2015,20
28-09-2015,15
05-10-2015,21
12-10-2015,11
19-10-2015,12
26-10-2015,4
02-11-2015,3
25-01-2016,1
01-02-2016,6
08-02-2016,17
15-02-2016,30
22-02-2016,43
29-02-2016,48
07-03-2016,56
14-03-2016,91
21-03-2016,116
28-03-2016,45
04-04-2016,47
11-04-2016,42
18-04-2016,45
25-04-2016,20
02-05-2016,19
09-05-2016,36
16-05-2016,18
23-05-2016,18
30-05-2016,31
06-06-2016,50
13-06-2016,54
20-06-2016,38
27-06-2016,51
04-07-2016,22
11-07-2016,11
18-07-2016,19
25-07-2016,17
01-08-2016,8
08-08-2016,13
15-08-2016,26
22-08-2016,17
29-08-2016,12
05-09-2016,11
12-09-2016,22
19-09-2016,12
26-09-2016,7
03-10-2016,27
10-10-2016,18
17-10-2016,24
24-10-2016,34
31-10-2016,6
07-11-2016,1
19-12-2016,2
26-12-2016,3
02-01-2017,1
16-01-2017,2
23-01-2017,25
30-01-2017,30
06-02-2017,25
13-02-2017,26
20-02-2017,54
27-02-2017,71
06-03-2017,152
13-03-2017,100
20-03-2017,108
27-03-2017,97
03-04-2017,88
10-04-2017,67
17-04-2017,64
24-04-2017,68
01-05-2017,55
08-05-2017,107
15-05-2017,82
22-05-2017,77
29-05-2017,61
05-06-2017,87
12-06-2017,66
19-06-2017,98
26-06-2017,74
03-07-2017,72
10-07-2017,33
17-07-2017,50
24-07-2017,51
31-07-2017,35
07-08-2017,46
14-08-2017,31
21-08-2017,34
28-08-2017,33
04-09-2017,20
11-09-2017,33
18-09-2017,18
25-09-2017,34
02-10-2017,15
09-10-2017,14
16-10-2017,19
23-10-2017,8
30-10-2017,3
06-11-2017,2
13-11-2017,2
27-11-2017,5
15-01-2018,1
22-01-2018,3
29-01-2018,14
05-02-2018,20
12-02-2018,8
19-02-2018,20
26-02-2018,41
05-03-2018,17
12-03-2018,33
19-03-2018,33
26-03-2018,25
02-04-2018,57
09-04-2018,48
16-04-2018,36
23-04-2018,42
30-04-2018,38
07-05-2018,19
14-05-2018,40
21-05-2018,26
28-05-2018,66
04-06-2018,37
11-06-2018,54
18-06-2018,34
25-06-2018,31
